from_letter,to_letter,count,probability
a,n,961970,0.25971301626658727
a,r,502520,0.1356705353953714
a,l,282061,0.07615093306565679
a,c,262161,0.07077832370808318
a,t,243227,0.06566651538766616
a,s,204045,0.05508814454101042
a,m,191307,0.05164913459142386
a,u,182614,0.04930219523738429
a,i,162241,0.04380188516492966
a,d,146930,0.03966821572403471
a,b,106855,0.02884875240721247
a,h,95062,0.025664873907018222
a,v,72893,0.019679679090533326
a,e,63244,0.017074638503034444
a,p,45583,0.012306515193280297
a,g,40757,0.011003589928976263
a,o,37856,0.010220376876397317
a,a,25903,0.006993301517046696
a,y,20583,0.005557005950097368
a,k,18945,0.005114778104484023
a,z,14345,0.003872868403738364
a,f,8712,0.002352068981064387
a,j,5140,0.0013876991003984101
a,w,4938,0.001333163065713492
a,x,3199,0.0008636672027576875
a,q,882,0.00023812268609949371
b,e,291759,0.44134291172960244
b,i,87522,0.13239425114700237
b,o,77539,0.11729299878530446
b,a,69403,0.10498569745155967
b,r,68934,0.10427624264262084
b,l,31654,0.04788290516449822
b,u,13055,0.019748256995088274
b,y,8144,0.012319402908310908
b,b,5513,0.008339497572877951
b,w,3420,0.005173423127016614
b,d,2546,0.0038513261056679236
b,n,709,0.00107250204592245
b,s,363,0.0005491089459377283
b,h,258,0.0003902757797573937
b,g,93,0.00014068080433115354
b,c,31,0.00004689360144371785
b,t,28,0.00004235551098142257
b,m,25,0.00003781742051912729
b,j,21,0.00003176663323606693
b,k,18,0.00002722854277377165
b,v,14,0.000021177755490711285
b,p,10,0.000015126968207650918
b,z,8,0.000012101574566120735
b,f,2,3.0253936415301837e-6
b,q,1,1.5126968207650919e-6
b,x,1,1.5126968207650919e-6
c,h,442118,0.26945484087818833
c,e,371526,0.22643158435555621
c,k,177556,0.10821392417175417
c,a,172179,0.10493683823677297
c,i,149337,0.09101547001530363
c,o,84205,0.05131988490888823
c,l,83923,0.051148016165413306
c,t,45646,0.0278195768250236
c,q,38126,0.023236410332358803
c,y,30040,0.018308287425485452
c,c,21433,0.013062633967724025
c,r,18346,0.01118121974393995
c,u,5125,0.0031235011003865826
c,s,615,0.00037482013204638993
c,d,221,0.0001346914620849629
c,m,81,0.0000493665539768416
c,x,74,0.00004510030857143554
c,n,53,0.00003230157235521735
c,j,41,0.000024988008803092663
c,w,32,0.00001950283613899915
c,g,28,0.000017064981621624258
c,v,22,0.000013408199845561916
c,f,19,0.000011579808957530746
c,b,16,9.751418069499576e-6
c,p,16,9.751418069499576e-6
c,z,9,5.485172664093511e-6
d,i,311310,0.26202185493394115
d,e,261838,0.22038250763609674
d,a,176662,0.1486919949129161
d,o,174410,0.14679654273562903
d,r,129456,0.10895988324283924
d,y,61087,0.05141540282146305
d,j,31000,0.026091926063898284
d,d,26763,0.022525748943487415
d,u,6248,0.0052587856144269834
d,m,2531,0.002130279511862147
d,w,1734,0.0014594645095096653
d,h,1624,0.0013668802557345425
d,g,889,0.0007482491055098572
d,n,643,0.0005411970470673096
d,l,570,0.00047975476956200075
d,s,533,0.00044861279329218664
d,v,225,0.0001893768827218424
d,b,203,0.0001708600319668178
d,z,186,0.00015655155638338972
d,t,60,0.000050500502059157975
d,f,54,0.000045450451853242174
d,c,42,0.00003535035144141058
d,k,24,0.00002020020082366319
d,p,14,0.000011783450480470193
d,x,1,8.416750343192995e-7
e,l,777156,0.20403353984628883
e,r,687128,0.18039770415141973
e,n,505480,0.13270807112278885
e,s,329446,0.08649233045643406
e,a,212026,0.055665034200918784
e,t,191240,0.05020790441070297
e,d,181892,0.04775369247579787
e,m,170188,0.04468093932152644
e,p,107639,0.0282594050557606
e,u,98188,0.025778151632912062
e,o,84251,0.022119149521575694
e,b,75195,0.019741598892296642
e,v,64025,0.01680904141338244
e,i,63834,0.01675889651826403
e,e,62533,0.016417333646279484
e,c,54226,0.014236424516705601
e,x,43452,0.011407832370078778
e,g,34852,0.009149999396160948
e,k,15530,0.0040772262889469625
e,z,14633,0.003841729058992975
e,f,12773,0.0033534070437037703
e,y,12009,0.00315282746323014
e,h,5592,0.0014681165104823834
e,j,3573,0.0009380508390474886
e,w,1894,0.0004972483316977171
e,q,207,0.00005434551460476634
f,r,108612,0.3135712862797405
f,a,83734,0.24174656654281104
f,i,66445,0.1918318796896969
f,e,34108,0.09847244717369526
f,l,31401,0.09065712776185073
f,o,9131,0.026361906741615204
f,u,7013,0.020247076112030166
f,f,3736,0.010786122394773234
f,t,824,0.0023789520485260024
f,y,816,0.002355855426695653
f,w,215,0.0006207217116906439
f,h,114,0.00032912686108248093
f,n,68,0.00019632128555797107
f,s,60,0.00017322466372762154
f,m,23,0.00006640278776225493
f,d,19,0.00005485447684708015
f,k,19,0.00005485447684708015
f,c,9,0.00002598369955914323
f,b,7,0.000020209544101555846
f,g,6,0.000017322466372762154
f,p,4,0.000011548310915174769
f,v,3,8.661233186381077e-6
f,j,2,5.7741554575873845e-6
f,x,1,2.8870777287936923e-6
f,z,1,2.8870777287936923e-6
g,e,222308,0.31729230804363434
g,u,99510,0.142027086624962
g,a,93876,0.13398587864541184
g,r,92018,0.13133402127480406
g,l,66885,0.09546258354849345
g,i,62004,0.08849610570891513
g,o,39017,0.0556875775183011
g,n,10720,0.01530027503386185
g,h,6398,0.009131638028605234
g,y,3306,0.004718536311748813
g,w,1759,0.0025105581888584883
g,g,932,0.001330210478690228
g,b,683,0.0009748216276238473
g,d,624,0.0008906130243591225
g,s,299,0.0004267520741720796
g,t,128,0.00018268985115058926
g,m,70,0.00009990851234797849
g,z,30,0.000042817933863419354
g,v,16,0.000022836231393823657
g,j,16,0.000022836231393823657
g,f,10,0.000014272644621139785
g,c,10,0.000014272644621139785
g,k,7,9.990851234797849e-6
g,x,6,8.56358677268387e-6
g,p,6,8.56358677268387e-6
g,q,3,4.281793386341935e-6
h,e,359936,0.3135500349322002
h,a,314705,0.2741480811681467
h,i,168979,0.1472022008157235
h,r,134046,0.11677111481630541
h,o,104891,0.09137340169939491
h,n,21621,0.018834640895239986
h,u,21555,0.01877714650094343
h,y,13471,0.011734954326801621
h,t,5781,0.0050359862640665266
h,l,780,0.0006794792053229356
h,m,734,0.0006394073547526086
h,w,337,0.0002935698617869606
h,k,262,0.00022823532281360142
h,s,255,0.00022213743250942125
h,v,116,0.00010105075361212888
h,d,104,0.00009059722737639141
h,h,77,0.0000670767933459821
h,c,66,0.00005749439429655609
h,b,59,0.000051396503992375896
h,g,52,0.000045298613688195705
h,p,46,0.00004007185057032697
h,f,26,0.000022649306844097853
h,j,25,0.000021778179657786397
h,z,10,8.711271863114559e-6
