from_letter,to_letter,count,probability
a,n,2264842,0.1956792054092443
a,m,1958668,0.1692261967503754
a,l,1263542,0.10916827512082845
a,k,1144522,0.09888511230955586
a,b,943761,0.08153964054721424
a,s,753672,0.06511621477312589
a,t,610257,0.05272535781985198
a,y,491770,0.042488245468824785
a,d,349345,0.030182923141522655
a,p,198632,0.01716152911719626
a,z,182933,0.015805157305953037
a,h,174357,0.015064202808646081
a,v,174286,0.015058068507187501
a,r,162582,0.014046859151254594
a,w,151408,0.013081441059730817
a,i,136188,0.011766454183679994
a,f,115715,0.009997615398306242
a,g,104584,0.009035912447102449
a,a,80591,0.006962950547162411
a,u,74125,0.006404297121371042
a,e,65092,0.005623858458337725
a,o,62062,0.005362070663696859
a,j,55853,0.004825621681213313
a,c,55104,0.004760909120755884
a,x,255,0.000022031646083637314
a,q,114,9.849441778567269e-6
b,a,1961024,0.3940533832314152
b,o,965702,0.19405073078827395
b,u,713337,0.14333983583788268
b,e,582786,0.11710657034279211
b,i,566120,0.11375765993428372
b,w,136280,0.02738446600693172
b,y,21769,0.004374320813801707
b,h,8023,0.0016121629789669298
b,r,6714,0.0013491290341248866
b,d,3052,0.0006132770050862607
b,m,3044,0.0006116694637885247
b,k,2973,0.0005974025347711183
b,l,1898,0.0003813891728878515
b,n,1076,0.00021621430454548378
b,t,871,0.00017502105879100034
b,b,719,0.0001444777741340175
b,g,288,0.0000578714867184938
b,s,259,0.00005204414951420102
b,c,248,0.0000498337802298141
b,z,124,0.00002491689011490705
b,f,69,0.000013865043692972472
b,v,65,0.000013061273044104503
b,p,53,0.000010649961097500595
b,j,47,9.444305124198641e-6
b,q,2,4.0188532443398473e-7
b,x,1,2.0094266221699236e-7
c,h,67431,0.3327953805152502
c,i,67314,0.332217944921528
c,e,20564,0.10149047478037707
c,a,14416,0.07114796170170763
c,o,7938,0.03917678412792419
c,k,7810,0.03854505971769816
c,u,3847,0.018986279735465402
c,l,3346,0.016513670911065047
c,t,2783,0.013735070575461455
c,q,1857,0.009164939295232455
c,y,1738,0.008577633007600434
c,c,1003,0.0049501529957556014
c,w,871,0.004298687197709999
c,r,695,0.0034300661336491957
c,m,390,0.0019247853124074624
c,b,186,0.0009179745336097127
c,n,143,0.0007057546145494029
c,s,87,0.0004293751850755108
c,p,47,0.00023196130687987366
c,j,36,0.00017767249037607344
c,d,36,0.00017767249037607344
c,g,29,0.00014312506169183694
c,f,28,0.000138189714736946
c,z,11,0.00005428881650380022
c,v,10,0.00004935346954890929
c,x,4,0.000019741387819563714
d,i,662605,0.3129775102841102
d,a,519179,0.2452310966741785
d,o,299421,0.14142971922454337
d,e,215343,0.10171597859525833
d,u,198507,0.09376359465136525
d,j,142174,0.06715503889516844
d,r,21913,0.010350474540421076
d,w,18793,0.008876761193726705
d,h,10239,0.00483633043487297
d,y,9152,0.0043228924836368225
d,z,5172,0.002442963278558746
d,m,4480,0.002116101215766277
d,k,3935,0.001858673724116138
d,d,1627,0.0007685037227794045
d,n,1357,0.0006409708370077762
d,t,1033,0.00048793137408182226
d,s,673,0.0003178875263863179
d,b,455,0.00021491652972626248
d,c,340,0.00016059696726797635
d,l,302,0.0001426478944556731
d,f,123,0.000058098314629297325
d,g,122,0.000057625970607920925
d,v,95,0.000044872682030758096
d,p,57,0.000026923609218454858
d,q,3,1.417032064129203e-6
d,x,1,4.7234402137640104e-7
e,n,936437,0.2300345898021864
e,m,674167,0.16560828897530813
e,l,553457,0.1359560269064002
e,k,410786,0.10090907237377522
e,b,226474,0.055633057739987175
e,t,200884,0.049346905918734967
e,s,196220,0.0482012000924622
e,r,170821,0.04196196718476447
e,y,152695,0.03750933772356801
e,d,83801,0.02058561190983806
e,z,68506,0.016828414094048595
e,a,55312,0.013587324327358418
e,p,51637,0.012684565126768271
e,w,38727,0.009513239608504654
e,e,37144,0.009124377618155212
